Site;Latitude;Longitude;PS_plus_proche;PS_latitude;PS_longitude;Distance_km
Couvée d'Aquitaine;44.41334262194176; 0.3141172636568187;Tonneins;44.41153818489076;0.305753537060125;0.695680
Castel Maïs Casteljaloux;44.325765914133996; 0.08539686553931598;Casteljaloux;44.31889976434834;0.0947759714463629;1.068584
Mussidan (InovChataigné);45.039080394076144; 0.36550855293358064;Saint-Médard-de-Mussidan;45.02738869873551;0.3371365932168472;2.585886
Busserolles (InovChataigné);;;;;;
Lamonzie Saint Martin (InovChataigné);;;;;;
Saint Médard de Mussidan (InovChataigné);45.043134496682136; 0.34930214084774874;Saint-Médard-de-Mussidan;45.02738869873551;0.3371365932168472;1.995246
Saint Michel de Double (InovChataigné);;;;;;
Vézac;44.83292512786135; 1.1647963853992223;Sarlat-la-Canéda;44.87321888423197;1.210830069901765;5.769931
Penne (Silo);44.38034227876831; 0.8027115004773183;Villeneuve-sur-Lot;44.40224721500525;0.7229492231391117;6.805418
Penne GV (Vendu);;;;;;
Verteuil Silo (Vendu);;;;;;
Verteuil Magasin (Vendu);;;;;;
soustons;43.74641770860991; -1.33285379210912;Soustons;43.771091126263514; -1.2948007929781047;4.111690
mimizan;44.19725528555141;-1.2291033861765632;Mimizan;44.1948017922608; -1.2295049995137841;0.274506
morcenx la nouvelle;44.02969680821508;-0.9227099943452951;Morcenx-la-Nouvelle;44.03143778431751; -0.9052865619625207;1.410082
lit et mixe;44.02549860293042;-1.2583691579531584;Linxe;43.907624274812235; -1.2321315191950484;13.265380
saint sever;43.7502878518836;-0.568674355747199;Saint-Sever;43.76397390663459; -0.5258372653500577;3.770054
dax;43.70987517571523;-1.0441713878412118;Saint-Paul-lès-Dax;43.7263292279978; -1.03918106238464;1.871864
PEYREHORADE;43.5512456094283;-1.1301652172450665;Guiche;43.512432834195224; -1.2207089798077064;8.494906
PEYREHORADE soumo;43.55076012419594;-1.1299851875293643;Guiche;43.512432834195224; -1.2207089798077064;8.480260
